sentence,intent
Adaptasyon nedir?,definition
Evrim nedir?,definition
Mutasyon nedir?,definition
Kafiye nedir?,definition
Redif nedir?,definition
Vezin nedir?,definition
Dörtlü nedir?,definition
Beyit nedir?,definition
Nazım nedir?,definition
Nesir nedir?,definition
Deyim nedir?,definition
Atasözü nedir?,definition
pH değeri nasıl hesaplanır?,solution
Mol sayısı nasıl bulunur?,solution
Konsantrasyon nasıl hesaplanır?,solution
Kimyasal denklem nasıl denkleştirilir?,solution
Dikdörtgenin çevresi nasıl bulunur?,solution
Dairenin alanı nasıl hesaplanır?,solution
Pisagor teoremi nasıl uygulanır?,solution
Yüzde hesabı nasıl yapılır?,solution
Ortalama nasıl hesaplanır?,solution
Faktoriyel nasıl hesaplanır?,solution
Logaritma nasıl hesaplanır?,solution
Türev nasıl alınır?,solution
İntegral nasıl hesaplanır?,solution
Grafik nasıl çizilir?,solution
Lineer denklem sistemi nasıl çözülür?,solution
Matris çarpımı nasıl yapılır?,solution
Determinant nasıl hesaplanır?,solution
Hız hesabı nasıl yapılır?,solution
İvme hesabı nasıl yapılır?,solution
Kinetik enerji nasıl hesaplanır?,solution
Potansiyel enerji nasıl bulunur?,solution
İş hesabı nasıl yapılır?,solution
Güç hesabı nasıl yapılır?,solution
Basınç nasıl hesaplanır?,solution
Yoğunluk nasıl bulunur?,solution
Ohm kanunu nasıl uygulanır?,solution
Elektrik gücü nasıl hesaplanır?,solution
Direnç nasıl hesaplanır?,solution
Gerilim nasıl ölçülür?,solution
Akım nasıl hesaplanır?,solution
Frekans nasıl bulunur?,solution
Dalga boyu nasıl hesaplanır?,solution
Ses hızı nasıl hesaplanır?,solution
Işık hızı nasıl hesaplanır?,solution
Cümle çözümlemesi nasıl yapılır?,solution
Kelime türü tespiti nasıl yapılır?,solution
İmla kuralları nasıl uygulanır?,solution
Noktalama işaretleri nasıl kullanılır?,solution
Paragraf nasıl yazılır?,solution
Kompozisyon nasıl yazılır?,solution
Özet nasıl çıkarılır?,solution
Fiil çekimi nasıl yapılır?,solution
İsim çekimi nasıl yapılır?,solution
Sıfat tamlaması nasıl kurulur?,solution
İsim tamlaması nasıl yapılır?,solution
Genetik kod nasıl okunur?,solution
DNA replikasyonu nasıl gerçekleşir?,solution
Protein sentezi nasıl yapılır?,solution
Aynı türden sözcüklere örnek ver.,example
Zıt anlamlı sözcüklere örnek ver.,example
Eş anlamlı sözcüklere örnek ver.,example
Mecazi anlama örnek ver.,example
Gerçek anlama örnek ver.,example
Yan yana yazılan sözcüklere örnek ver.,example
Ayrı yazılan sözcüklere örnek ver.,example
Büyük harfle yazılan sözcüklere örnek ver.,example
Küçük harfle yazılan sözcüklere örnek ver.,example
Birleşik sözcüklere örnek ver.,example
Türemiş sözcüklere örnek ver.,example
Yapım eklerine örnek ver.,example
Çekim eklerine örnek ver.,example
İsim cümlesine örnek ver.,example
Fiil cümlesine örnek ver.,example
Kurallı cümleye örnek ver.,example
Devrik cümleye örnek ver.,example
Olumlu cümleye örnek ver.,example
Olumsuz cümleye örnek ver.,example
Soru cümlesine örnek ver.,example
Ünlem cümlesine örnek ver.,example
Emir cümlesine örnek ver.,example
Dilek cümlesine örnek ver.,example
Şart cümlesine örnek ver.,example
Girişik birleşik cümleye örnek ver.,example
Sıralı birleşik cümleye örnek ver.,example
Bağlı birleşik cümleye örnek ver.,example
İç içe birleşik cümleye örnek ver.,example
Eksiltili cümleye örnek ver.,example
Pekiştirmeli cümleye örnek ver.,example
Asit-baz tepkimesine örnek ver.,example
Yakma tepkimesine örnek ver.,example
Çökme tepkimesine örnek ver.,example
Redoks tepkimesine örnek ver.,example
Organik bileşiklere örnek ver.,example
İnorganik bileşiklere örnek ver.,example
Metal elementlere örnek ver.,example
Ametal elementlere örnek ver.,example
Yarı metal elementlere örnek ver.,example
Noble gazlara örnek ver.,example
Alkali metallere örnek ver.,example
Toprak alkali metallere örnek ver.,example
Halojen elementlere örnek ver.,example
Geçiş metallerine örnek ver.,example
Homojen karışıma örnek ver.,example
Heterojen karışıma örnek ver.,example
Süspansiyona örnek ver.,example
Emülsiyona örnek ver.,example
Çözeltiye örnek ver.,example
Kolloid karışıma örnek ver.,example
Doğrusal harekete örnek ver.,example
Dairesel harekete örnek ver.,example
Salınım hareketine örnek ver.,example
Dönme hareketine örnek ver.,example
Paralel kuvvetlere örnek ver.,example
Zıt kuvvetlere örnek ver.,example
Eşit kuvvetlere örnek ver.,example
Eşit olmayan kuvvetlere örnek ver.,example
Mekanik enerjiye örnek ver.,example
Elektrik enerjisine örnek ver.,example
Kimyasal enerjiye örnek ver.,example
Isı enerjisine örnek ver.,example
Işık enerjisine örnek ver.,example
Ses enerjisine örnek ver.,example
Nükleer enerjiye örnek ver.,example
Manyetik enerjiye örnek ver.,example
Canlı ile cansız farkı nedir?,comparison
Prokaryot ile ökaryot farkı nedir?,comparison
Bitki ile hayvan hücresi farkı nedir?,comparison
Mitoz ile mayoz farkı nedir?,comparison
DNA ile RNA farkı nedir?,comparison
Enzim ile hormon farkı nedir?,comparison
Fotosentez ile solunum farkı nedir?,comparison
Kalıtsal ile çevresel özellik farkı nedir?,comparison
Dominant ile çekinik gen farkı nedir?,comparison
Homozigot ile heterozigot farkı nedir?,comparison
Fenotip ile genotip farkı nedir?,comparison
Adaptasyon ile mutasyon farkı nedir?,comparison
Element ile bileşik farkı nedir?,comparison
Karışım ile bileşik farkı nedir?,comparison
Metal ile ametal farkı nedir?,comparison
Asit ile baz farkı nedir?,comparison
Çözelti ile süspansiyon farkı nedir?,comparison
Homojen ile heterojen karışım farkı nedir?,comparison
Fiziksel ile kimyasal özellik farkı nedir?,comparison
Endo ile ekzotermik tepkime farkı nedir?,comparison
Katalizör ile inhibitör farkı nedir?,comparison
Organik ile inorganik bileşik farkı nedir?,comparison
Polar ile apolar molekül farkı nedir?,comparison
Iyonik ile kovalent bağ farkı nedir?,comparison
Hız ile ivme farkı nedir?,comparison
Kütle ile ağırlık farkı nedir?,comparison
Sıcaklık ile ısı farkı nedir?,comparison
Ses ile ışık farkı nedir?,comparison
AC ile DC akım farkı nedir?,comparison
Seri ile paralel bağlantı farkı nedir?,comparison
Elektrik ile manyetik alan farkı nedir?,comparison
Frekans ile periyot farkı nedir?,comparison
Boyuna ile enine dalga farkı nedir?,comparison
Yansıma ile kırılma farkı nedir?,comparison
Gözlük ile mikroskop farkı nedir?,comparison
Teleskop ile dürbün farkı nedir?,comparison
İsim ile fiil farkı nedir?,comparison
Sıfat ile zarf farkı nedir?,comparison
Edat ile bağlaç farkı nedir?,comparison
Zamir ile işaret sıfatı farkı nedir?,comparison
Benzetme ile kişileştirme farkı nedir?,comparison
Abartma ile küçültme farkı nedir?,comparison
Eş sesli ile eş anlamlı farkı nedir?,comparison
Zıt anlamlı ile yakın anlamlı farkı nedir?,comparison
Gerçek ile mecazi anlam farkı nedir?,comparison
Temel ile yan anlam farkı nedir?,comparison
Kelime ile sözcük farkı nedir?,comparison
Hece ile ses farkı nedir?,comparison
Sesli ile sessiz harf farkı nedir?,comparison
Ünlü ile ünsüz farkı nedir?,comparison
Millî Mücadele ne zaman başladı?,date_lookup
Kurtuluş Savaşı ne zaman sona erdi?,date_lookup
Lozan Antlaşması ne zaman imzalandı?,date_lookup
Samsun'a çıkış hangi tarihte?,date_lookup
İzmir'in kurtuluşu ne zaman?,date_lookup
Başkomutanlık Meydan Muharebesi ne zaman?,date_lookup
Sakarya Meydan Muharebesi ne zaman?,date_lookup
İnönü Savaşları ne zaman?,date_lookup
Dumlupınar Meydan Muharebesi ne zaman?,date_lookup
Mudanya Mütarekesi ne zaman?,date_lookup
Türk Dil Kurumu ne zaman kuruldu?,date_lookup
Türk Tarih Kurumu ne zaman kuruldu?,date_lookup
Harf devrimi ne zaman yapıldı?,date_lookup
Kabotaj Kanunu ne zaman çıktı?,date_lookup
Medeni Kanun ne zaman kabul edildi?,date_lookup
Kadınlara seçme hakkı ne zaman verildi?,date_lookup
Çok partili hayata geçiş ne zaman?,date_lookup
Demokrat Parti ne zaman kuruldu?,date_lookup
27 Mayıs İhtilali ne zaman?,date_lookup
12 Mart Muhtırası ne zaman?,date_lookup
12 Eylül İhtilali ne zaman?,date_lookup
28 Şubat süreci ne zaman?,date_lookup
15 Temmuz darbe girişimi ne zaman?,date_lookup
Avrupa Birliği'ne adaylık ne zaman?,date_lookup
Gümrük Birliği ne zaman?,date_lookup
İlk nüfus sayımı ne zaman yapıldı?,date_lookup
İlk radyo yayını ne zaman başladı?,date_lookup
İlk televizyon yayını ne zaman?,date_lookup
İlk üniversite ne zaman kuruldu?,date_lookup
İlk demiryolu ne zaman açıldı?,date_lookup
İlk uçak seferi ne zaman?,date_lookup
Türkiye'ye ilk otomobil ne zaman geldi?,date_lookup
İlk sinema gösterimi ne zaman?,date_lookup
İlk gazete ne zaman çıktı?,date_lookup
İlk kitap ne zaman basıldı?,date_lookup
İlk okul ne zaman açıldı?,date_lookup
İlk hastane ne zaman kuruldu?,date_lookup
İlk banka ne zaman açıldı?,date_lookup
İlk fabrika ne zaman kuruldu?,date_lookup
İlk maç ne zaman oynandı?,date_lookup
Elementler hangi gruplara ayrılır?,categorization
Asitler nasıl sınıflandırılır?,categorization
Bazlar hangi türlere ayrılır?,categorization
Tuzlar nasıl gruplandırılır?,categorization
Organik bileşikler hangi sınıflara ayrılır?,categorization
Karbonhidratlar hangi türlere ayrılır?,categorization
Proteinler nasıl sınıflandırılır?,categorization
Lipitler hangi gruplara ayrılır?,categorization
Vitaminler hangi sınıflara ayrılır?,categorization
Mineraller nasıl gruplandırılır?,categorization
Besin ögeleri nelerdir?,categorization
Ekosistem bileşenleri nelerdir?,categorization
Beslenme şekilleri nelerdir?,categorization
Solunum türleri nelerdir?,categorization
Üreme çeşitleri nelerdir?,categorization
Hareket türleri nelerdir?,categorization
Davranış çeşitleri nelerdir?,categorization
Uyum türleri nelerdir?,categorization
Yaşam alanları nelerdir?,categorization
İklim türleri nelerdir?,categorization
Toprak çeşitleri nelerdir?,categorization
Su türleri nelerdir?,categorization
Hava katmanları nelerdir?,categorization
Kayaç türleri nelerdir?,categorization
Maden çeşitleri nelerdir?,categorization
Enerji kaynakları nelerdir?,categorization
Doğal kaynaklar nelerdir?,categorization
Çevre sorunları nelerdir?,categorization
Kirlilik türleri nelerdir?,categorization
Geri dönüşüm çeşitleri nelerdir?,categorization
Hareket türleri nelerdir?,categorization
Kuvvet çeşitleri nelerdir?,categorization
Enerji türleri nelerdir?,categorization
Dalga türleri nelerdir?,categorization
Işık türleri nelerdir?,categorization
Ses türleri nelerdir?,categorization
Manyetizma çeşitleri nelerdir?,categorization
Elektrik türleri nelerdir?,categorization
Makine türleri nelerdir?,categorization
Araç gereç çeşitleri nelerdir?,categorization
